ID;Timestamp;Artist;Title;From Wishlist
109;2020.07.26 02:12:42 am;Anuel AA;Reggaetonera;0
108;2020.07.26 02:09:13 am;Paraskevas Grekis;Sirtaki griechisch tanz;0
107;2020.07.26 02:05:50 am;Roland Kaiser, Maite Kelly;Warum hast Du nicht nein gesagt;0
106;2020.07.26 01:51:58 am;Apache 207;Bläulich;0
105;2020.07.26 01:49:29 am;Beatrice Egli;Wahrheit oder Pflicht;0
104;2020.07.26 01:43:06 am;Ginuwine;Pony;0
103;2020.07.26 01:38:08 am;Joe Cocker;You Can Leave Your Hat On;0
102;2020.07.26 12:44:56 am;DJ Pink Lady;EisDE Es rappelt im Karton;0
101;2020.07.26 12:43:18 am;Guru Josh Project;Infinity 2008;0
100;2020.07.26 12:42:15 am;Otto Knows;Million Voices;0
99;2020.07.26 12:40:24 am;Ramon Roselly;Eine Nacht;0
98;2020.07.26 12:38:34 am;Pupo;SU DI NOI (remix version);0
97;2020.07.26 12:35:42 am;Helene Fischer;Atemlos durch die Nacht;0
96;2020.07.26 12:30:37 am;Daft Punk;Around the World;0
95;2020.07.26 12:28:31 am;Apache 207;Fame;0
94;2020.07.26 12:28:20 am;Jax Jones, Martin Solveig, RAYE, Europa;Tequila;0
93;2020.07.26 12:28:10 am;Dan + Shay;Tequila;0
92;2020.07.26 12:22:41 am;R. Kelly;I Believe I Can Fly;0
91;2020.07.25 11:45:29 pm;Adnan Şenses;Doldur Meyhaneci;0
90;2020.07.25 11:18:27 pm;İbrahim Erkal;Sevme;0
89;2020.07.25 11:14:34 pm;Murat Kekilli;Bu Akşam Ölürüm;0
88;2020.07.25 11:14:17 pm;Murat Dalkılıç;Bu Nasıl Aşk;0
87;2020.07.25 11:12:36 pm;İbrahim Tatlıses;Bir Kulunu Çok Sevdim;0
86;2020.07.25 11:09:16 pm;Ferdi Tayfur;Huzurum Kalmadı;0
85;2020.07.25 11:06:52 pm;HUGEL, Amber Van Day;WTF (feat. Amber Van Day);0
84;2020.07.25 11:02:32 pm;İbrahim Tatlıses;Bulamadım;0
83;2020.07.25 11:00:31 pm;Abba;Mamma Mia;0
82;2020.07.25 10:57:59 pm;Boney M.;Daddy Cool;0
81;2020.07.25 10:56:58 pm;Abba;Gimme! Gimme! Gimme! (A Man After Midnight);0
80;2020.07.25 10:52:20 pm;Village People;YMCA;0
79;2020.07.25 10:50:46 pm;King Africa;La Bomba;0
78;2020.07.25 10:47:39 pm;Danza Kuduro;Lambada;0
77;2020.07.25 10:43:39 pm;Los Del Río;Macarena;0
76;2020.07.25 10:39:44 pm;Las Ketchup;The Ketchup Song (Aserejé);0
75;2020.07.25 10:37:24 pm;Lou Bega;Mambo No. 5 (A Little Bit Of...);0
74;2020.07.25 10:34:37 pm;Aqua;Barbie Girl;0
73;2020.07.25 10:33:22 pm;Spice Girls;Wannabe;0
72;2020.07.25 10:31:19 pm;Britney Spears;...Baby One More Time;0
71;2020.07.25 10:29:07 pm;Britney Spears;(You Drive Me) Crazy;0
70;2020.07.25 10:27:01 pm;Backstreet Boys;Larger Than Life;0
69;2020.07.25 10:22:41 pm;İbrahim Erkal;Ömrüm;0
68;2020.07.25 10:20:20 pm;;Gotye - Somebody That I Used To Know ft.;0
67;2020.07.25 10:17:32 pm;Tones and I;Ur So F**kInG cOoL;0
66;2020.07.25 10:13:59 pm;Tones and I;Dance Monkey;0
65;2020.07.25 10:06:27 pm;Apache 207;Bläulich;0
64;2020.07.25 10:04:17 pm;Mustafa Sandal, Gentleman;Isyankar;0
63;2020.07.25 09:55:58 pm;Didier Labbé Quartet;Harmandali;0
62;2020.07.25 09:53:07 pm;Hüsnü Senlendirici, Laço Tayfa;Harmandali;0
61;2020.07.25 09:49:47 pm;Mezdeke;Arab Rapsodi;0
60;2020.07.25 09:48:20 pm;Tuncer Keskin;Turkısh Misket;0
59;2020.07.25 09:43:28 pm;Ömer Faruk Bostan;Erik Dalı / Sendemi Oldun Ankaralı / Huriyem;0
58;2020.07.25 09:37:11 pm;ORK BABALAR;ANKARANIN BAGLARI;0
57;2020.07.25 09:34:09 pm;Hüsnü Senlendirici, Laço Tayfa;Ciftetelli;0
56;2020.07.25 09:30:28 pm;Santana, The Product G&B;Maria Maria;0
55;2020.07.25 09:28:19 pm;Alvaro Soler;La Libertad;0
54;2020.07.25 09:25:09 pm;Shakira, Maluma;Chantaje;0
53;2020.07.25 09:21:52 pm;Luis Fonsi, Daddy Yankee;Despacito;0
52;2020.07.25 09:17:25 pm;Tarkan;Şımarık;0
51;2020.07.25 09:11:35 pm;Dj Chawwwy;Roman Havasi;0
50;2020.07.25 09:08:53 pm;Mark Forster;Übermorgen;0
49;2020.07.25 09:08:30 pm;Mango;Sirtaki;0
48;2020.07.25 09:01:00 pm;Yurtseven Kardeşler;Halayımız Bitmesin;0
47;2020.07.25 08:50:25 pm;Umberto Tozzi;Ti amo;0
46;2020.07.25 08:47:42 pm;Al Bano, Romina Power;Felicità;0
45;2020.07.25 08:43:53 pm;Ricchi E Poveri;Mamma Maria;0
44;2020.07.25 08:40:37 pm;Apache 207;Bläulich;0
43;2020.07.25 08:37:13 pm;Stevie Wonder;Happy Birthday;0
42;2020.07.25 08:37:07 pm;Johannes Oerding;An guten Tagen;0
41;2020.07.25 08:35:24 pm;Max Giesinger;80 Millionen;0
40;2020.07.25 08:31:13 pm;Adel Tawil;Ist da jemand;0
39;2020.07.25 08:26:28 pm;Pupo;Su di noi;0
38;2020.07.25 08:24:39 pm;Gino Dal Nero;Un estate italiana;0
37;2020.07.25 08:20:55 pm;DNCE;Cake By The Ocean;0
36;2020.07.25 08:16:17 pm;Umberto Tozzi, Raf;Gente di mare;0
35;2020.07.25 08:13:02 pm;Tones and I;Dance Monkey;0
34;2020.07.25 08:08:56 pm;Tami Jones;Dance Monkey (Karaoke);0
33;2020.07.25 08:04:16 pm;Master KG, Nomcebo Zikode;Jerusalema (feat. Nomcebo Zikode);0
32;2020.07.25 08:01:47 pm;Jawsh 685, Jason Derulo;Savage Love (Laxed - Siren Beat);0
31;2020.07.25 07:57:35 pm;Cedric Zeyenne;Feel You (Original Mix) (zaycev.net);0
30;2020.07.25 07:54:25 pm;Dusky;Careless (Original Mix) (zaycev.net);0
29;2020.07.25 07:51:18 pm;Michael Jackson;Billie Jean;0
28;2020.07.25 07:41:43 pm;Stevie B;Funky Melody;0
27;2020.07.25 07:36:36 pm;Johnny o;Fantasy Girl;0
26;2020.07.25 07:22:00 pm;Ömer Faruk Bostan;Erik Dalı / Sendemi Oldun Ankaralı / Huriyem;0
25;2020.07.25 07:15:38 pm;DJBünyamin;Turkish Halay;0
24;2020.07.25 07:14:13 pm;Unspecified;Turkish Halay;0
23;2020.07.25 07:09:05 pm;Carlos Vives, Shakira;La Bicicleta;0
22;2020.07.25 07:05:28 pm;Juanes;La Camisa Negra;0
21;2020.07.25 07:02:21 pm;Enrique Iglesias, CNCO;SUBEME LA RADIO REMIX;0
20;2020.07.25 07:00:08 pm;Camila Cabello;Liar;0
19;2020.07.25 06:56:59 pm;Shawn Mendes, Camila Cabello;Señorita;0
18;2020.07.25 06:53:51 pm;Tones and I;Dance Monkey;0
17;2020.07.25 06:51:12 pm;LSD, Sia, Diplo, Labrinth;Thunderclouds;0
16;2020.07.25 06:48:07 pm;Tones and I;Ur So F**kInG cOoL;0
15;2020.07.25 06:44:19 pm;Los Del Río;Macarena (Bayside Boys Remix);0
14;2020.07.25 06:41:22 pm;Lou Bega;Mambo No. 5 (A Little Bit Of...);0
13;2020.07.25 06:39:35 pm;Britney Spears;...Baby One More Time;0
12;2020.07.25 06:35:55 pm;Backstreet Boys;I Want It That Way;0
11;2020.07.25 06:32:36 pm;Gwen Stefani, Akon;The Sweet Escape;0
10;2020.07.25 06:26:51 pm;Chris Brown;Yeah 3x;0
9;2020.07.25 06:24:25 pm;Rihanna, Calvin Harris;We Found Love;0
8;2020.07.25 06:21:10 pm;Lucenzo, Don Omar;Danza Kuduro;0
7;2020.07.25 06:19:36 pm;Yolanda Be Cool, Dcup;We No Speak Americano (JT Radio Edit);0
6;2020.07.25 06:16:32 pm;Alexandra Stan;Mr. Saxobeat;0
5;2020.07.25 06:14:14 pm;Michael Gray;The Weekend;0
4;2020.07.25 04:57:14 pm;Pitbull, Ne-Yo;Time of Our Lives;0
3;2020.07.25 04:50:21 pm;Edward Maya, Vika Jigulina;Stereo Love;0
2;2020.07.25 04:46:18 pm;Sia;Clap Your Hands;0
1;2020.07.25 02:36:56 pm;Jawsh 685, Jason Derulo;Savage Love (Laxed - Siren Beat);0
